Chromosome,Type,Number,MutationsPerBase,,Chromosome Size (not graphed)
1,Short Insert or Deletion,4508,1.81E-05,,249250621
2,Short Insert or Deletion,4776,1.96E-05,,243199373
3,Short Insert or Deletion,3867,1.95E-05,,198022430
4,Short Insert or Deletion,3885,2.03E-05,,191154276
5,Short Insert or Deletion,3565,1.97E-05,,180915260
6,Short Insert or Deletion,3382,1.98E-05,,171115067
7,Short Insert or Deletion,3153,1.98E-05,,159138663
8,Short Insert or Deletion,2909,1.99E-05,,146364022
9,Short Insert or Deletion,2374,1.68E-05,,141213431
10,Short Insert or Deletion,2546,1.88E-05,,135534747
11,Short Insert or Deletion,2619,1.94E-05,,135006516
12,Short Insert or Deletion,2576,1.92E-05,,133851895
13,Short Insert or Deletion,1946,1.69E-05,,115169878
14,Short Insert or Deletion,1779,1.66E-05,,107349540
15,Short Insert or Deletion,1579,1.54E-05,,102531392
16,Short Insert or Deletion,1566,1.73E-05,,90354753
17,Short Insert or Deletion,1535,1.89E-05,,81195210
18,Short Insert or Deletion,1455,1.86E-05,,78077248
19,Short Insert or Deletion,1109,1.88E-05,,59128983
20,Short Insert or Deletion,1147,1.82E-05,,63025520
21,Short Insert or Deletion,722,1.50E-05,,48129895
22,Short Insert or Deletion,612,1.19E-05,,51304566
X,Short Insert or Deletion,3117,2.01E-05,,155270560
Y,Short Insert or Deletion,530,8.93E-06,,59373566
1,Single Nucleotide Variant,17911,7.19E-05,,
2,Single Nucleotide Variant,19173,7.88E-05,,
3,Single Nucleotide Variant,15621,7.89E-05,,
4,Single Nucleotide Variant,15049,7.87E-05,,
5,Single Nucleotide Variant,14072,7.78E-05,,
6,Single Nucleotide Variant,13371,7.81E-05,,
7,Single Nucleotide Variant,12315,7.74E-05,,
8,Single Nucleotide Variant,11430,7.81E-05,,
9,Single Nucleotide Variant,9512,6.74E-05,,
10,Single Nucleotide Variant,10519,7.76E-05,,
11,Single Nucleotide Variant,10443,7.74E-05,,
12,Single Nucleotide Variant,10542,7.88E-05,,
13,Single Nucleotide Variant,7740,6.72E-05,,
14,Single Nucleotide Variant,7025,6.54E-05,,
15,Single Nucleotide Variant,6637,6.47E-05,,
16,Single Nucleotide Variant,6422,7.11E-05,,
17,Single Nucleotide Variant,6308,7.77E-05,,
18,Single Nucleotide Variant,5910,7.57E-05,,
19,Single Nucleotide Variant,4535,7.67E-05,,
20,Single Nucleotide Variant,4872,7.73E-05,,
21,Single Nucleotide Variant,2888,6.00E-05,,
22,Single Nucleotide Variant,2830,5.52E-05,,
X,Single Nucleotide Variant,12045,7.76E-05,,
Y,Single Nucleotide Variant,2083,3.51E-05,,
