Name,Type,Score,Order,,,,,,
Haplotype Caller, Precision,0.60652901,1,,,,,,
3-Concordance, Precision,0.598275445,2,,,,,,
4-Concordance, Precision,0.720537495,3,,,,,,
Neural Network, Precision,0.996467881,4,,,,,,
Haplotype Caller, Recall,0.954763144,5,,,,,,
3-Concordance, Recall,0.963372628,6,,,,,,
4-Concordance, Recall,0.941802371,7,,,,,,
Neural Network, Recall,0.962989908,8,,,,,,
Haplotype Caller,F1 Score,0.741810613,9,,,,,,
3-Concordance,F1 Score,0.738146062,10,,,,,,
4-Concordance,F1 Score,0.81644426,11,,,,,,
Neural Network,F1 Score,0.979442903,12,,,,,,
